Track,Album,Album Disc Number,Album Label,Album Track Number,Area,Dates,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Star Wars Main Title & A Galaxy Divided,The Clone Wars OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",25,
Confrontation With Count Dooku & Finale,Attack of the Clones OST,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",26,
Across the Stars (Love Theme),Attack of the Clones OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",27,
Grievous Speaks to Lord Sidious,Revenge of the Sith OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",28,
Duel Of The Fates,The Phantom Menace OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",29,
The Battle of Yavin,A New Hope OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",30,
Panaka and the Queen’s Protectors,The Phantom Menace OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",31,
Confrontation With Count Dooku & Finale,Attack of the Clones OST,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",32,
Leia’s News/Light of the Force,Return of the Jedi OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",33,
Yoda and the Force,The Empire Strikes Back OST  ,,,,Downtown Disney District,,,Star Wars Trading Post,,,,"John Williams, London Symphony Orchestra",34,
"Run With the Herd (From ""The Good Dinosaur"" Score)",The Good Dinosaur OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,01:13:48.697,00:01:38.163,Jeff Danna and Mychael Danna,1,
Diggin' the New Digs,Incredibles 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:22.387,Michael Giacchino,2,
Gnarly Chop,Finding Dory OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:30.806,Thomas Newman,3,
Turtle Lope,Finding Nemo OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:45.899,Thomas Newman,4,
Wall-E,WALL-E OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:21.328,Thomas Newman,5,
Up with End Credits,Up OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:29.110,Michael Giacchino,6,
Plaza de la Cruz,Coco OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:19.104,Michael Giacchino,7,
Fiesta Espectacular,Coco OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:54.358,Michael Giacchino,8,
The Joy of Credits,Inside Out OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:38.075,Michael Giacchino,9,
The Cleaner,Toy Story 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:46.184,Randy Newman,10,
The Scare Floor,"Monsters, Inc. OST",,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:36.690,Randy Newman,11,
Colette Shows Him Le Ropes,Ratatouille OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:38.939,Michael Giacchino,12,
The Glory Days,The Incredibles OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:29.868,Michael Giacchino,13,
It's Finn McMissile!,Cars 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:23.481,Michael Giacchino,14,
McQueen and Sally,Cars OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:22.368,Rand Newman,15,
Across the Ocean,Elemental OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:03:34.243,Thomas Newman,16,
Home on the Space Range,Lightyear OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:34.267,Michael Giacchino,17,
Meilin Lee,Turning Red OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:53.082,Ludwig Göransson,18,
Let Your Inner Panda Out,Turning Red OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:16.698,Ludwig Göransson,19,
"Andy's Birthday (From ""Toy Story""/Score)",Toy Story OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:14.686,Randy Newman,20,
End Creditouilles,Ratatouille OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:24.029,Michael Giacchino,21,
Field Trip,Finding Nemo OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:42.115,Thomas Newman,22,
First Day of School,Inside Out OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:54.308,Michael Giacchino,23,
Opening Race,Cars OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:19.121,Randy Newman,24,
Woody's a Star,Toy Story 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:41.377,Randy Newman,25,
The World Was Full of Wonder,Onward OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:01.331,Jeff Danna and Mychael Danna,26,
"Monsters, Inc.","Monsters, Inc. OST",,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:02.971,Randy Newman,27,
Elastigirl Is Back,Incredibles 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:57.146,Michael Giacchino,28,
"A Bug's Life Suite (From ""A Bug's Life""/Score)",A Bug's Life OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:23.155,Randy Newman,29,
Up with Titles,Up OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:51.353,Michael Giacchino,30,
Migration Song,Finding Dory OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:33.114,Thomas Newman,31,
Define Dancing,WALL-E OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:17.987,Thomas Newman,32,
Ride Like the Wind,Toy Story 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:24.126,Randy Newman,33,
Jessie and the Round Up Gang,Toy Story 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:47.080,Randy Newman,34,
Jump to Earth,Soul OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:41.777,Trent Reznor,35,
Collard Greens and Cornbread Strut,Soul OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:35.531,Jon Batiste,36,
Spiritual Connection,Soul OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:08.447,Jon Batiste,37,
Fiesta con de la Cruz,Coco OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:31.398,Michael Giacchino,38,
Fish Who Wander,Finding Dory OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:17.445,Thomas Newman,39,
You've Got a Friend in Me (Instrumental Version),Toy Story 2 OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:53.135,"Tom Scott (saxophone), Randy Newman",40,
The Axiom,WALL-E OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:21.836,Thomas Newman,41,
Make Connection,Elemental OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:28.570,Thomas Newman,42,
72 Degrees and Sunny,WALL-E OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:16.348,Thomas Newman,43,
The Incredits,The Incredibles OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:04:37.508,Michael Giacchino,44,
"Take Me, Gravity",Luca OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:15.314,Dan Romer,45,
How to Find the Good Ones,Luca OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:46.743,Dan Romer,46,
Merida's Home,Brave OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:01:25.361,Patrick Doyle,47,
"Andy's Birthday (From ""Toy Story""/Score)",Toy Story OST,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:00:14.195,Randy Newman,48,
"The Flik Machine (From ""A Bug's Life""/Score)",A Bug's Life,,,,Esplanade-Main Gates,,,Esplanade Pixar Fest v.2,,,00:02:47.775,Randy Newman,49,
Dance to the Music,Dance to the Music,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:45.348503,Sly and the Family Stone,16,
Spanish Castle Magic,Axis: Bold as Love,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:58.053628,Jimi Hendrix,17,
It's Your Thing,It's Our Thing,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:39.689002,The Isley Brothers,18,
Move On Up,Curtis,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:37.078844,Curtis Mayfield,19,
Hey Pocky A-Way,Rejuvenation,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:03:57.526712,The Meters,20,
Master Blaster,Hotter than July,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:04:34.901406,Stevie Wonder,21,
One Nation Under a Groove,One Nation Under a Groove,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:44.904286,Funkadelic,22,
September,"The Best of Earth, Wind & Fire, Vol. 1",,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:03:29.272426,"Earth, Wind & Fire",23,
When Doves Cry,Purple Rain,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:03:33.259388,Prince,24,
Golden,Beautifully Human: Words and Sounds Vol. 2,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:03:40.791746,Jill Scott,25,
Now or Never,"good kid, m.A.A.d city",,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:04:03.893107,Kendrick Lamar feat. Mary J. Blige,26,
Keep Reachin',QUINCY: A Life Beyond Measure (Music From The Netflix Original Documentary),,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:04:47.289592,"Mark Ronson, Quincy Jones feat. Chaka Khan",27,
Mood 4 Eva,The Lion King: The Gift,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:04:28.134603,Beyoncé feat. Oumou Sangaré,28,
Out of My Hands,Black Radio III,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:04:32.422698,Robert Glasper feat. Jennifer Hudson,29,
Swing That Music!,,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,"This loop played in the Downtown Disney District as part of Celebrate Soulfully, a Black history month celebration. Tracklist compiled by pixelated based on his 2022 reference recording. See MouseBits, https://forums.mousebits.com/threads/downtown-disney-seasonal-celebrations.11168/post-100448 (2025).",01:30:46.809,00:02:27.093175,Louis Armstrong,1,"Preceded by ~2.61 sec. silent gap "
It Don't Mean a Thing,,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:04:10.840907,Ella Fitzgerald,2,
Bessie's Blues,Crescent,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:03:29.208503,John Coltrane,3,
Walk to Jerusalem,,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:36.033492,Mahalia Jackson,4,
Oh Happy Day,Let Us Go into the House of the Lord,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:01:52.160000,The Edwin Hawkins Singers,5,
Dance with Me,,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:03:07.940408,B.B. King,6,
Hit the Road Jack,Hit the Road Jack (single),,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:01:50.627211,Ray Charles,7,
Tutti Frutti,,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:22.371655,Little Richard,8,
Rock and Roll Music,,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:29.873447,Chuck Berry,9,
Twistin' the Night Away,,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:33.013878,Sam Cooke,10,
I Was Made to Love Her,I Was Made to Love Her,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:30.694150,Stevie Wonder,11,
Respect,I Never Loved a Man the Way I Love You,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:21.422018,Aretha Franklin,12,
I Got You (I Feel Good),Out of Sight,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:44.600340,James Brown,13,
Ain't Too Proud to Beg,Gettin' Ready,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:27.781565,The Temptations,14,
I Want You Back,Diana Ross Presents The Jackson 5,,,,Downtown Disney District,,,DTDD Celebrate Soulfully,,,00:02:47.974694,The Jackson 5,15,
La Tortura,"Fijación Oral, Vol. 1 (partial)",,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,"This is a preliminary track list for the loop that played in Downtown Disney District during Hispanic and Latin American Heritage Month celebrations in 2023. Tracklist compiled by pixelated based on his 2023 reference recording. See MouseBits, https://forums.mousebits.com/threads/downtown-disney-seasonal-celebrations.11168/post-100449 (2025).",01:00:49.205,00:03:26.347143,Shakira,1,
Oye Como Va,Abraxas,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:04:14.315170,Santana,2,
Si Una Vez,Amor Prohibido,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:42.724399,Selena,3,
un x100to,El Comienzo,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:03:07.307007,Bad Bunny and Grupo Frontera,4,
Mi Gente,4,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:04:07.844059,A.B. Quintanilla III,5,
Bésame Mucho,Coco,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:47.628390,Jorge Blanco,6,
"Colombia, Mi Encanto",Encanto OST,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:46.220317,Carlos Vives,7,
Reggaeton,Carnevale,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:37.139569,J Balvin,8,
Que Nadie Sepa Mi Sufrir,La Pistola y El Corazón,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:26.727982,Los Lobos,9,
Nunca Contigo,Evolucion,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:03:45.353719,Lalo Rodríguez,10,
El Mariachi Loco,Sabes una Cosa... Gracias Mamá,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:50.015238,Mariachi de la Ciudad de Mexico,11,
El Baile Madrigal,Encanto OST,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:36.638390,Germaine Franco,12,
Cancion del Mariachi,Desperado: The Soundtrack,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:01.825193,Antonio Banderas and Los Lobos,13,
Mi Gente,El Cantante,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:03:49.684853,Marc Anthony,14,
"The Three Caballeros (From ""Grand Fiesta Tour"")",WDW OA,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:00:40.758549,Gonzalez Esperon and Ray Gilbert,15,
Remember Me (Ernesto de la Cruz),Coco OST,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:01:42.408231,Benjamin Bratt,16,
Despacito,Despacito & Mis Grandes Éxitos,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:03:43.278617,Luis Fonsi,17,
Los Laureles (The Laurels),Canciones de Mi Padre,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:23.693878,Linda Ronstadt,18,
La Bamba (Single Version),Presenting Ritchie Valens,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:02:01.702358,Ritchie Valens,19,
Quiero Bailar,Diva,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:03:02.846871,Ivy Queen,20,
Bajo El Mar,Tardes de Galletas y Chocolates,,,,Downtown Disney District,,,DTDD Hispanic and Latin American Heritage Month,,,00:03:54.745918,Alejandro Sanz,21,
El Parian 3439/3,Destinos por Descubrir ANW 3439,,,,Downtown Disney District,,,DTDD Colombian Silletas [REF],,,00:02:49.576,"Juan Andres Matos, Lorena Perez-Batista",10,playback rate: 0.999967
Spanish Cumbia 3270/6,Latin Grooves ANW 3270,,,,Downtown Disney District,,,DTDD Colombian Silletas [REF],,,NA,"Juan Carlos Rodriguez, Orlando Felice Rodriguez Di Pietro",11,playback rate: 1.000022
High Maintenance,XXL,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,"This jazzy loop plays outside of the Discovery Tower of the Disneyland Hotel during the daytime hours, prior to 7 PM. It plays at the Palette Pool, Palm Breeze Bar and Steamboat Willie Splash Pad. The Discovery Tower opened on September 28, 2023. Preliminary tracklist compiled by pixelated based on his 2024 reference recording. See MouseBits, https://forums.mousebits.com/threads/discovery-tower-loops.11167/post-100446 (2025).",02:01:54.853,?,Gordon Goodwin's Big Phat Band,1,
Sunset and Vine,The Gordian Knot,,,,Disneyland Hotel,,,Discovery Tower nighttime exterior [INC],"This jazzy loop plays outside of the Discovery Tower of the Disneyland Hotel after 7 PM. The Discovery Tower opened on September 28, 2023. A few tracks were identified by pixelated and Park Sensory based on their reference recordings. See MouseBits, https://forums.mousebits.com/threads/discovery-tower-nighttime-exterior.11173/ (2025).",Unknown,,Gordon Goodwin's Big Phat Band,1,
Alice in Wonderland,Disney Meets Jazz - Tribute to Walt Disney,,,,Disneyland Hotel,,,Discovery Tower interior,"This loop plays inside the Discovery Tower lobby of the Disneyland Hotel. The Discovery Tower opened on September 28, 2023. Preliminary tracklist compiled by pixelated based on his 2023 reference recording. See MouseBits, https://forums.mousebits.com/threads/discovery-tower-loops.11167/ (2025).",~01:36:23.722,00:05:21.451,"Billy Kilson, Gil Goldstein, and John Patitucci",1,
Almost There (Jazz Version),BGM Disney Jazz Radio,,,,Disneyland Hotel,,,Discovery Tower nighttime exterior [INC],,,,Massimo Roberti,2,
Bags' Groove,Wizard of the Vibes,,,,Disneyland Hotel,,,Discovery Tower nighttime exterior [INC],,,,Milt Jackson,3,
A Spoonful of Sugar,Plays With The Original Motion Picture Score Mary Poppins,,,,Disneyland Hotel,,,Discovery Tower nighttime exterior [INC],,,,Duke Ellington,4,
Slush Puppy,"The Swingin' Sound of the Dr. Drew Podcast, Vol. 2",,,,Disneyland Hotel,,,Discovery Tower nighttime exterior [INC],,,,Werner Tautz,5,
Who's Afraid of the Big Bad Wolf,The Circle Sessions: The Music of Carthay Circle - Vol. 2,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:02:27.422,The Circle Session Players,2,
Spiritual Connection,Soul OST,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:01:09.497,Jon Batiste,3,
Remy's Rat Pack,Music from Remy's Ratatouille Adventure,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:04:04.008,Michael Giacchino,4,
True Love's Kiss,The Circle Sessions: The Music of Carthay Circle - Vol. 2,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:02:13.655,The Circle Session Players,5,
Sing Sang Sung,Swingin' for the Fences,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:05:33.582,Gordon Goodwin's Big Phat Band,6,
Hay Burner,Basie Straight Ahead,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:04:13.933,Count Basie,7,
Collard Greens and Cornbread Strut,Soul OST,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:00:35.304,Jon Batiste,8,
"Monsters, Inc.","Monsters, Inc. OST",,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:02:04.945,Randy Newman,9,
Ain't That Right,On My Way and Shoutin' Again,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:02:48.101,Count Basie,10,
Someday My Prince Will Come,Beauty and the Beast,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:05:23.477,The Jazz Networks,11,
Swingin' for the Fences,Swingin' for the Fences,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:05:06.008,Gordon Goodwin's Big Phat Band,12,
When I See an Elephant Fly,Let's Dance the Jive,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:02:41.595,London Swing Orchestra,13,
Don't Blink,The Gordian Knot,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:06:12.475,Gordon Goodwin's Big Phat Band,14,
A Spoonful of Sugar,Plays With The Original Motion Picture Score Mary Poppins,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:03:08.347,Duke Ellington,15,
RataTango,Music from Remy's Ratatouille Adventure,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:05:04.839,Michael Giacchino,16,
High Clouds and a Good Chance of Wayne,Plays Well With Others,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:05:56.741,Wayne Bergeron,17,
Kiss the Girl,Disney Jazz Vol. II: Everybody Wants to Be a Cat,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:04:06.617,Roy Hargrove,18,
One Mint Julep,Genius + Soul = Jazz,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:01:29.971,Ray Charles,19,
Alice in Wonderland,Manhattan Jazz Orchestra Plays Disney,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:06:44.702,Manhattan Jazz Quintet,20,
Diggin' the New Digs,Incredibles 2 OST,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:01:40.801,Michael Giacchino,21,
Peps,In Search Of,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:05:26.790,Ken Peplowski,22,
You've Got A Friend In Me (Wheezy's version),Toy Story 2 OST,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:02:53.961,Robert Goulet,23,no vocals - may be Cast and Crew album
Space Maker,Soul OST,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:01:13.484,Jon Batiste,24,
I Just Can't Wait to Be King,Live from Sandnes Brygge,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:03:41.667,"Sandnes Storband, Elisabeth R. Fjermestad",25,
Count Bubba,Swingin' for the Fences,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:07:30.055,Gordon Goodwin's Big Phat Band,26,
Under the Sea,Beauty and the Beast,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:03:44.421,The Jazz Networks,27,
O Samba Alegre,Gordon Goodwin & Dan Savant Present: Jazz Anthology,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:04:17.126,5 Alarm,28,
Life's Incredible Again,The Incredibles OST,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:01:20.717,Michael Giacchino,29,
I Wan'na Be Like You (The Monkey Song),The Circle Sessions: The Music of Carthay Circle - Vol. 2,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:02:41.151,The Circle Session Players,30,
Fancy Pants,Fancy Pants,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:04:22.314,Count Basie,31,
Circle of Life,Manhattan Jazz Orchestra Plays Disney,,,,Disneyland Hotel,,,Discovery Tower daytime exterior,,,00:05:44.405,Manhattan Jazz Quintet,32,
Best Of Friends,Wish Upon A Star Vol. 2,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:20.022,David Huntsinger,2,
I Just Can't Wait to Be King,Lofi Minnie: Focus,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:02:17.956,"Abel Balder, Disney Lofi, and Walt Disney",3,
Some Day My Prince Will Come,The Circle Sessions (The Music of Carthay Circle),,,,Disneyland Hotel,,,Discovery Tower interior,,,00:03:06.848,The Circle Session Players,4,
The Second Star To The Right (Alternate Version),Wish Upon A Star Vol. 2,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:57.672,David Huntsinger,5,
Cruella de Vil,Swings The Songs Of Disney,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:03.848,Adrian Cunningham,6,
Some Day My Prince Will Come (Disney Jazz),Disney Jazz Volume I: Everybody Wants To Be A Cat,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:03:59.638,Dave Brubeck,7,
Belle,Disney Jazz Volume I: Everybody Wants To Be A Cat,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:06:19.027,Gilad Hekselman,8,
When You Wish Upon a Star,Lofi Minnie: Chill,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:02:57.195,Disney Lofi and Jazzinuf,9,
Be Our Guest,The Circle Sessions (The Music of Carthay Circle),,,,Disneyland Hotel,,,Discovery Tower interior,,,00:03:29.564,The Circle Session Players,10,
Whistling Medley: Give A Little Whistle; Whistle While You Work,Disney Meets Jazz - Tribute to Walt Disney,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:19.007,"Billy Kilson, Gil Goldstein, and John Patitucci",11,
Beyond the Sea (Instrumental),Jeff Krolick,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:14.473,Jeff Krolick,12,
You'll Be In My Heart,Lofi Minnie: Chill,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:40.521,Disney Lofi and Jeff Kaale,13,
He's a Tramp,Beauty and the Beast,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:05:32.269,The Jazz Networks,14,
Winnie The Pooh,The Circle Sessions (The Music of Carthay Circle),,,,Disneyland Hotel,,,Discovery Tower interior,,,00:03:12.521,The Circle Session Players,15,
When You Wish Upon a Star (Mono Version),Dave Digs Disney,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:47.767,Dave Brubeck,16,
Into the Unknown,Lofi Minnie: Focus,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:02:14.486,"Disney Lofi, Hippo Dreams, and Walt Disney",17,
A Dream Is A Wish Your Heart Makes (Instrumental),Jazz Loves Disney,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:04:12.141,The Rob Mounsey Orchestra,18,
Very Good Advice (Mono Version),Dave Dig Disney (Legacy Edition),,,,Disneyland Hotel,,,Discovery Tower interior,,,00:05:29.274,Dave Brubeck,19,
Almost There,Lofi Minnie: Focus,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:02:07.346,"Disney Lofi, OTESLA, and Walt Disney",20,
The Bare Necessities,Lofi Minnie: Chill,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:01:57.450,Disney Lofi and Pastels,21,
So This Is Love (Mono Version),Dave Digs Disney,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:05:52.843,Dave Brubeck,22,
Bippity Boppity Boo,Swings The Songs Of Disney,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:03:41.401,Adrian Cunningham,23,
Beauty and the Beast,Lofi Minnie: Chill,,,,Disneyland Hotel,,,Discovery Tower interior,,,00:03:09.131,Disney Lofi and Hippo Dreams,24,
Call Me,Sayin’ Somethin’,,,,Disneyland Hotel,,,Discovery Tower nighttime exterior [INC],,,,Nat Adderley,,
