Track,Album,Album Disc Number,Album Label,Album Track Number,Area,Dates,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Cielito Lindo,Hispanoamerica,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Lunch/Dinner,,,,Paco de Lucía & Ramón Algeciras,2,
Blow the Man Down,The Wind in the Rigging,,,,Disney's Grand Californian Hotel & Spa,,,Storyteller's Cafe Lunch/Dinner,,,,Various Artists,4,
Another Rainy Day,Perfect Moment,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Peter White,3,
Laura,Intimate Secrets,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Rick Braun,12,
We Should Be Together,3rd Force,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,3rd Force,7,
City of Lights,Caravan of Dreams,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Peter White,9,
Samba del Rio,Four Corners,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Craig Chaquico,5,
Bittersweet,Caravan of Dreams,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Peter White,10,
Venice Beach,Caravan of Dreams,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Peter White,8,
Obsession Confession,Curdled OST,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Slash with Marta Sanchez,11,
Turquoise Moon,Four Corners,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Craig Chaquico,4,
Autumn Day,Perfect Moment,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Peter White,2,
Siempre Conmigo,Aloft,,,,Disney's Grand Californian Hotel & Spa,"January 2, 2001",,Napa Rose v.1,,,,Sean Harkness,6,
Banzai Pipeline,Sway,,,3,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:03:42.042,The Blue Hawaiians,13,"Late start ~05.143 seconds
Early
Only available on CD release; not present on streaming version of album"
Sunset at the Wedge,Jetty Subject to High Surf,,,,Disney's Paradise Pier Hotel,,,Paradise Pier Hotel (interior) v.1 [REF],,,00:03:13.890,The Vara-Tones,12,"Wave sounds coincide with fadeout of previous track.
Fade out ends ~3:15"
