Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Together Again, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,11,
Mahna Mahna, Unreleased,,,,"February 8, 2001 → November 7, 2014",,,Hollywood Pictures Backlot,Muppet Vision 3D Lobby,,,,,9,
Part of Your World,The Little Mermaid,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,10,
All in the Golden Afternoon,Walt Disney's Alice In Wonderland,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,19,
Bella Notte,Walt Disney's Lady And The Tramp,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,20,
I Wanna Be Like You,Jungle Book,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,16,
I've Got No Strings,Pinocchio,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,6,
Hakuna Matata,The Lion King,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,21,
I Just Can't Wait to Be King,The Lion King,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,12,
Trashin' the Camp,Tarzan,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,9,
Friend Like Me,Aladdin,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,14,
A Guy Like You,The Hunchback Of Notre Dame,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,3,
When She Loved Me,Toy Story 2,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,15,
Bibbidi Bobbidi Boo,Cinderella,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,18,
I Wonder,Sleeping Beauty,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,2,
Following the Leader,Peter Pan,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,5,
The Silly Song,Walt Disney's Snow White And The Seven Dwarfs,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,8,
Beauty and the Beast,Beauty and the Beast,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,17,
Under the Sea,The Little Mermaid,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,"This loop played in DCA’s Off the Page, dates unknown but at least in 2004. It has since been updated with a few replacement tracks (v.2). Tracklist compiled by X-S Tech on Magic Music, Re: https://community.magicmusic.net/threads/new-playlist-dcas-off-the-page.1460/#post-9830 (2004). X-S Tech noted that a few of the tracks in the loop were edited, but they are not specified. A modern (2024) recording indicates that the tracks are largely limited to their vocal portions, such that intro or outro instrumental portions on their OST releases are trimmed but there are otherwise no intra-track edits.",Unknown,,,1,
Why Should I Worry,Oliver And Company,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,11,
I'll Make a Man Out of You,Mulan,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,4,
Just Around the Riverbend,Pocahontas,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,7,
Hi-Diddle-Dee-Dee (An Actor's Life for Me),Pinocchio,,,,,,,Hollywood Pictures Backlot,Off the Page v.1,,,,,13,
Charles Giteaux,Song of the Hills: Instrumental Impressions Of Appalachian Classics,,Shanachie,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,"Norman Blake, Nancy Blake",9,
Green Acres Theme,Thundering Banjos of Bluegrass,,CMH Records,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Richard Bailey,4,Available digitally on “Country Fried TV Tunes”; this track is not in the Magic Music track listing
Freight Train,Unknown,,CMH Records,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,,12,Unknown track origin
Bury Me Beneath the Willow,No Hurry,,New Rounder,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Scott Nygaard,7,
Lonesome Road Blues,Heart of Bluegrass,,CMH Records,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,"Joe Maphis, Merle Travis",21,Available digitally on “The Joe Maphis Flat-Picking Spectacular”
Carroll County Blues,Bluegrass Breakdown: 14 Instrumentals,,Easydisc,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,The Nashville Bluegrass Band,19,
